mapping,ontology,template
http://mappings.dbpedia.org/server/mappings/en/Infobox_Neighborhood_Portland_OR,http://dbpedia.org/ontology/AdministrativeRegion,infobox neighborhood portland or
http://mappings.dbpedia.org/server/mappings/en/Canada-bio-stub,http://dbpedia.org/ontology/Person,canada bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_Norwegian_station,http://dbpedia.org/ontology/Station,infobox norwegian station
http://mappings.dbpedia.org/server/mappings/en/Ireland-writer-stub,http://dbpedia.org/ontology/Writer,ireland writer stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_color,http://dbpedia.org/ontology/Colour,infobox color
http://mappings.dbpedia.org/server/mappings/en/Infobox_Venus_crater,http://dbpedia.org/ontology/Crater,infobox venus crater
http://mappings.dbpedia.org/server/mappings/en/Infobox_badminton_player,http://dbpedia.org/ontology/BadmintonPlayer,infobox badminton player
http://mappings.dbpedia.org/server/mappings/en/Infobox_bone,http://dbpedia.org/ontology/Bone,infobox bone
http://mappings.dbpedia.org/server/mappings/en/France-noble-stub,http://dbpedia.org/ontology/Noble,france noble stub
http://mappings.dbpedia.org/server/mappings/en/India-party-stub,http://dbpedia.org/ontology/PoliticalParty,india party stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_film_festival,http://dbpedia.org/ontology/FilmFestival,infobox film festival
http://mappings.dbpedia.org/server/mappings/en/UK-Olympic-medalist-stub,http://dbpedia.org/ontology/Athlete,uk olympic medalist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_CityRail_station,http://dbpedia.org/ontology/Station,infobox cityrail station
http://mappings.dbpedia.org/server/mappings/en/Infobox_character,http://dbpedia.org/ontology/FictionalCharacter,infobox character
http://mappings.dbpedia.org/server/mappings/en/BritishColumbia-politician-stub,http://dbpedia.org/ontology/Politician,britishcolumbia politician stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_organization,http://dbpedia.org/ontology/Organisation,infobox organization
http://mappings.dbpedia.org/server/mappings/en/Infobox_engineer,http://dbpedia.org/ontology/Engineer,infobox engineer
http://mappings.dbpedia.org/server/mappings/en/Infobox_Old_Cricketer,http://dbpedia.org/ontology/Cricketer,infobox old cricketer
http://mappings.dbpedia.org/server/mappings/en/US-architect-stub,http://dbpedia.org/ontology/Architect,us architect stub
http://mappings.dbpedia.org/server/mappings/en/Africa-party-stub,http://dbpedia.org/ontology/PoliticalParty,africa party stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_MP,http://dbpedia.org/ontology/MemberOfParliament,infobox mp
http://mappings.dbpedia.org/server/mappings/en/Infobox_District_Slovakia,http://dbpedia.org/ontology/AdministrativeRegion,infobox district slovakia
http://mappings.dbpedia.org/server/mappings/en/Infobox_military_conflict,http://dbpedia.org/ontology/MilitaryConflict,infobox military conflict
http://mappings.dbpedia.org/server/mappings/en/Infobox_Site_of_Special_Scientific_Interest,http://dbpedia.org/ontology/SiteOfSpecialScientificInterest,infobox site of special scientific interest
http://mappings.dbpedia.org/server/mappings/en/Infobox_Buddhist_temple,http://dbpedia.org/ontology/HistoricBuilding,infobox buddhist temple
http://mappings.dbpedia.org/server/mappings/en/Infobox_clergy,http://dbpedia.org/ontology/Cleric,infobox clergy
http://mappings.dbpedia.org/server/mappings/en/Infobox_Lunar_crater,http://dbpedia.org/ontology/Crater,infobox lunar crater
http://mappings.dbpedia.org/server/mappings/en/Infobox_shopping_mall,http://dbpedia.org/ontology/ShoppingMall,infobox shopping mall
http://mappings.dbpedia.org/server/mappings/en/Infobox_rail,http://dbpedia.org/ontology/PublicTransitSystem,infobox rail
http://mappings.dbpedia.org/server/mappings/en/Infobox_vein,http://dbpedia.org/ontology/Vein,infobox vein
http://mappings.dbpedia.org/server/mappings/en/Listen,http://www.w3.org/2002/07/owl#Thing,listen
http://mappings.dbpedia.org/server/mappings/en/India-writer-stub,http://dbpedia.org/ontology/Writer,india writer stub
